,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,
23,blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,22,3,0.75999997,0.069637883,23.25,0.32078853,9.428315412,23.25,179,558,2.045028143,1,5.270609319,
24,blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,19,11,0.266666658,0.048859935,25.5,0.231372549,10.29254902,25.5,236,1020,1.845128205,4,4.78627451,
25,blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,23,14,0.243243237,0.06156406,17.54,0.298745724,7.13549829,17.54,262,877,2.051682692,1,5.263397948,
26,blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,25,25,0,0.070224719,23.64285714,0.218277946,9.544454035,23.64285714,289,1324,1.799528302,19,4.645770393,
27,blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,34,25,0.15254237,0.084892086,23.34042553,0.290793072,9.452487442,23.34042553,319,1097,2.025352113,7,5.347310848,
28,blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,68,31,0.37373737,0.082984074,22.75324675,0.358447489,9.244677697,22.75324675,628,1752,2.175925926,1,5.752283105,
29,blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,57,35,0.239130432,0.113022113,19.94285714,0.240687679,8.073417929,19.94285714,336,1396,1.853090909,6,4.876074499,
30,blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,35,0.299999997,0.095785441,19.64705882,0.336526946,7.993434308,19.64705882,562,1670,2.088253195,2,5.471856287,
31,blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,63,23,0.465116274,0.102137767,18.87951807,0.240587109,7.648042073,18.87951807,377,1567,1.899224806,17,4.887683472,
32,blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,58,24,0.414634141,0.081107814,20.79012346,0.26128266,8.420562447,20.79012346,440,1684,1.930487805,12,5.107482185,
33,blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,44,24,0.294117643,0.095104895,22.21818182,0.25613748,8.989727719,22.21818182,313,1222,1.905236908,18,5.045008183,
34,blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,26,12,0.368421043,0.084821428,15.89130435,0.257181943,6.459394516,15.89130435,188,731,1.881615599,7,5.077975376,
35,blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,1,0,0.999999,0.09999999,9.5,0.210526316,3.884210526,9.5,4,19,1.736842105,0,4.578947368,
36,blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,37,13,0.47999999,0.124069479,19.41666667,0.236051502,7.861087268,19.41666667,165,699,1.820289855,2,4.855507868,
37,blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,66,39,0.257142855,0.086490939,24.74418605,0.267387218,10.00462931,24.74418605,569,2128,1.965648855,9,4.983082707,
38,blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,46,62,-0.148148147,0.085714286,18.25,0.274520548,7.409808219,18.25,501,1825,1.96030871,1,5.179178082,
39,blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,36,20,0.285714281,0.080808081,20.98181818,0.324090121,8.522363321,20.98181818,374,1154,2.113537118,8,5.560658579,
40,blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,30,29,0.016949152,0.075933076,16.39726027,0.274018379,6.668511461,16.39726027,328,1196,1.972484953,6,5.081939799,
41,blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,56,23,0.417721514,0.102597402,21.30263158,0.243977764,8.618643737,21.30263158,395,1619,1.869755792,32,4.892526251,
42,blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,65,21,0.511627901,0.094818081,18.49382716,0.285714286,7.511816578,18.49382716,428,1498,2.025832767,11,5.249666222,
43,blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,25,0,0.99999996,0.077399381,22.86363636,0.330019881,9.277462498,22.86363636,166,503,2.114,0,5.461232604,
44,blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,80,39,0.344537812,0.148194271,225.5,0.236696231,90.29467849,225.5,427,1804,1.837563452,15,4.770509978,
45,blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,17,0,0.999999941,0.040189125,16.06666667,0.312586445,6.551701245,16.06666667,226,723,2.028050491,0,5.289073306,
46,blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14,6,0.39999998,0.04576659,16.73170732,0.335276968,6.826793714,16.73170732,230,686,2.064992614,0,5.594752187,
47,blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0,3,-0.999999667,0.030612245,24.85714286,0.32183908,10.07159278,24.85714286,56,174,1.98255814,2,5.568965517,
48,blackassign0049,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0,0,11.5,0.130434783,4.652173913,11.5,3,23,1.695652174,0,4.52173913,
49,blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,24,69,-0.483870963,0.114110429,23.48275862,0.290014684,9.509109322,23.48275862,395,1362,1.955123411,2,5.148311307,
50,blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,17,14,0.09677419,0.072769953,22.5,0.254166667,9.101666667,22.5,183,720,1.892198582,3,4.973611111,
51,blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,55,37,0.195652172,0.090729783,20.64835165,0.235763704,8.353646141,20.64835165,443,1879,1.872374798,9,4.898350186,
52,blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,38,3,0.853658516,0.107611548,14.17777778,0.305642633,5.793368164,14.17777778,195,638,1.977742448,4,5.253918495,
53,blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,5,1,0.666666556,0.026431718,22,0.240641711,8.896256684,22,90,374,1.91689008,0,5.021390374,
54,blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,22,7,0.517241361,0.062098501,22.57142857,0.264556962,9.134394213,22.57142857,209,790,1.893919793,4,4.910126582,
55,blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,13,8,0.238095227,0.068403909,22,0.285714286,8.914285714,22,132,462,2.087912088,1,5.337662338,
56,blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,15,8,0.304347813,0.117346938,13.57142857,0.263157895,5.533834586,13.57142857,100,380,2.005277045,0,5.194736842,
57,blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,5,0,0.9999998,0.05,15.6,0.326923077,6.370769231,15.6,51,156,2.051282051,2,5.429487179,
58,blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,23,37,-0.233333329,0.130434782,14.61818182,0.2039801,5.928864767,14.61818182,164,804,1.793275218,13,4.725124378,
59,blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,9,2,0.636363579,0.10891089,18.1,0.254143646,7.341657459,18.1,46,181,1.877777778,1,4.872928177,
60,blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,33,10,0.534883708,0.100467289,16.625,0.359398496,6.793759398,16.625,239,665,2.202435312,0,5.703759398,
61,blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,1,7,-0.749999906,0.105263157,19.125,0.222222222,7.738888889,19.125,34,153,1.753333333,4,4.647058824,
62,blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,9,25,-0.470588221,0.195402298,19.1,0.212041885,7.724816754,19.1,81,382,1.809018568,5,4.633507853,
63,blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,25,46,-0.295774644,0.067426401,22.77027027,0.309792285,9.232025022,22.77027027,522,1685,2.064593301,16,5.452818991,
64,blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,41,23,0.281249996,0.073903002,24.22535211,0.219186047,9.777815264,24.22535211,377,1720,1.840450771,18,4.797093023,
65,blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,33,25,0.137931032,0.064804469,20.76811594,0.237962317,8.402431304,20.76811594,341,1433,1.858765082,16,4.905094208,
66,blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,23,5,0.64285712,0.067307692,12.73134328,0.214536928,5.178352085,12.73134328,183,853,1.718040621,0,4.540445487,
67,blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,42,8,0.679999986,0.072046109,24.27586207,0.215198864,9.796424373,24.27586207,303,1408,1.738129496,4,4.558238636,
68,blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,30,6,0.666666648,0.159292035,27.41176471,0.248927039,11.0642767,27.41176471,116,466,1.889848812,8,4.690987124,
69,blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,40,15,0.454545446,0.056642636,22.88235294,0.303984576,9.274535007,22.88235294,473,1556,2.04308094,7,5.233933162,
70,blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,23,71,-0.510638292,0.178368121,13.9,0.242548818,5.657019527,13.9,236,973,1.886363636,11,4.81397739,
71,blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,61,22,0.469879512,0.133655394,15.25,0.191544435,6.176617774,15.25,222,1159,1.719374457,5,4.653149267,
72,blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,22,32,-0.185185182,0.089850249,21.29787234,0.208791209,8.60266542,21.29787234,209,1001,1.782786885,0,4.887112887,
73,blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,22,21,0.023255813,0.065648855,15.45588235,0.296860133,6.301096994,15.45588235,312,1051,2.031730769,6,5.37583254,
74,blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,22,74,-0.541666661,0.176146789,15.13636364,0.249249249,6.154245154,15.13636364,249,998,1.887210473,13,4.837675351,
75,blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,20,12,0.249999992,0.082901554,19.61764706,0.242878561,7.944210248,19.61764706,162,667,1.793528505,5,4.859070465,
76,blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,8,6,0.142857133,0.081871345,26.81818182,0.220338983,10.81540832,26.81818182,65,295,1.828178694,0,4.881355932,
77,blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,24,17,0.170731703,0.089324619,30.5,0.273224044,12.30928962,30.5,200,732,1.970873786,0,5.293715847,
78,blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,20,28,-0.166666663,0.066759388,20.43103448,0.279324895,8.284143751,20.43103448,331,1185,1.951807229,5,5.178902954,
79,blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,34,10,0.545454533,0.017120623,13.01204819,0.262345679,5.309757549,13.01204819,850,3240,1.91384413,0,5.114506173,
80,blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,35,42,-0.09090909,0.081481481,20.42857143,0.263403263,8.276789877,20.42857143,452,1716,1.909574468,10,5.043123543,
81,blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,27,64,-0.406593402,0.092857143,23.23809524,0.352459016,9.436221702,23.23809524,516,1464,2.117770035,0,5.532103825,
82,blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,3,1,0.499999875,0.05479452,19.85714286,0.215827338,8.029188078,19.85714286,30,139,1.875,2,4.705035971,
83,blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,28,4,0.749999977,0.062622309,21.89473684,0.258413462,8.861260121,21.89473684,215,832,1.904528764,1,4.989182692,
84,blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,32,34,-0.03030303,0.074492099,15.29661017,0.229362881,6.21038922,15.29661017,414,1805,1.82729805,5,4.927977839,
85,blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,52,15,0.552238798,0.067951318,19,0.283353733,7.713341493,19,463,1634,1.914285714,5,5.080783354,
86,blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,30,34,-0.062499999,0.102728732,22.19148936,0.251198466,8.977075131,22.19148936,262,1043,1.887159533,3,5.066155321,
87,blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,15,44,-0.491525415,0.054178145,22.77027027,0.289614243,9.223953805,22.77027027,488,1685,2.026315789,1,5.309792285,
88,blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,16,40,-0.428571421,0.09929078,19.08163265,0.262032086,7.737465895,19.08163265,245,935,1.948351648,3,5.118716578,
89,blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,36,48,-0.142857141,0.131045242,16.76388889,0.244407622,6.803318604,16.76388889,295,1207,1.852990033,27,4.827671914,
90,blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,24,27,-0.058823528,0.092057762,29.51351351,0.258241758,11.90870211,29.51351351,282,1092,1.896935933,12,4.989010989,
91,blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,15,37,-0.423076915,0.066666667,17.67741935,0.309306569,7.19469037,17.67741935,339,1096,2.142993327,2,5.648722628,
92,blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,4,3,0.142857122,0.072164948,20.22222222,0.21978022,8.176800977,20.22222222,40,182,1.823863636,2,4.604395604,
93,blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,32,49,-0.209876541,0.120535714,18.32258065,0.243838028,7.426567469,18.32258065,277,1136,1.821109123,11,4.830105634,
94,blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,8,24,-0.499999984,0.076738609,17.82352941,0.277227723,7.240302854,17.82352941,168,603,1.987826087,4,5.210613599,
95,blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,27,54,-0.333333329,0.122913505,21.44230769,0.283408072,8.690286306,21.44230769,316,1115,1.978995434,2,5.275336323,
96,blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,20,34,-0.259259254,0.102661597,26.675,0.229615745,10.7618463,26.675,245,1067,1.785241249,5,4.743205248,
97,blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,1,0,0.999999,0.008695652,28.8,0.347222222,11.65888889,28.8,50,144,1.951048951,0,5.472222222,
98,blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,13,3,0.624999961,0.051612903,17.36666667,0.218809981,7.034190659,17.36666667,114,521,1.857976654,3,4.915547025,
99,blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,29,53,-0.292682923,0.15018315,27.60606061,0.27881449,11.15395004,27.60606061,254,911,1.966405375,3,5.24259056,
